dataset,sequences,sites,model,type,logl,AICc,nparam,treelength
ENSG00000139636,24,494,HIVBm-G,gpcr,-2718.39896629,5567.52566794,65,0.472706300826
ENSG00000171657,26,345,mtMet-No,gpcr,-4566.53163153,9270.11752663,68,2.1079094926
ENSG00000173391,25,489,HIVBm-No,gpcr,-7430.47949612,14993.6864145,66,4.94022720938
ENSG00000172381,22,319,gcpREV-G,gpcr,-3588.65356369,7300.39453394,61,3.22926499037
ENSG00000171014,20,318,WAG-No,gpcr,-3200.03004465,6513.07294033,56,1.22496298498
ENSG00000130234,20,824,mtMet-No,gpcr,-11848.9455504,23810.279824,56,2.41239727818
ENSG00000165621,22,344,JC69-G,gpcr,-4092.02840097,8307.0645291,61,1.81981461312
ENSG00000112964,20,688,JC69-No,gpcr,-8155.42591013,16423.3177037,56,1.6757913815
ENSG00000189143,26,212,LG-G,gpcr,-1801.78812021,3737.20048285,66,1.15727200249
ENSG00000186188,24,385,gcpREV-G,gpcr,-4251.32264954,8633.58055088,65,2.32404767862
ENSG00000153563,20,306,HIVBm-No,gpcr,-5575.98766441,11265.0282729,56,5.78069283192
ENSG00000144891,21,359,WAG-No,gpcr,-2310.55645493,4735.99674892,57,0.584144940809
ENSG00000108556,20,520,HIVBm-G,gpcr,-5265.89598516,10646.4313051,57,1.90727097977
ENSG00000171657,26,345,JTT-G,gpcr,-4342.91331497,8824.9120232,69,2.43992633
ENSG00000156097,22,452,gcpREV-G,gpcr,-2561.84774371,5244.43615322,60,0.602263254788
ENSG00000167359,20,323,WAG-G,gpcr,-2903.80086641,5922.63453506,57,1.45629012623
ENSG00000180616,25,375,HIVBm-G,gpcr,-2519.97501351,5174.92907506,67,1.48946590406
ENSG00000186188,24,385,mtMet-G,gpcr,-4238.61527636,8608.16580452,65,2.51215494352
ENSG00000171657,26,345,HIVBm-G,gpcr,-4333.31539725,8805.71618776,69,2.84186433253
ENSG00000119737,21,540,LG-No,gpcr,-4773.3403193,9663.28732241,58,0.970601775348
ENSG00000186943,22,320,gcpREV-No,gpcr,-3759.59073432,7640.23032951,60,1.76465892998
ENSG00000075073,25,415,gcpREV-No,gpcr,-4835.88485198,9804.62767835,66,1.74675420879
ENSG00000108556,20,520,JC69-No,gpcr,-5933.38500134,11979.3872317,56,1.46400207979
ENSG00000178394,20,422,JTT-G,gpcr,-3146.03493057,6406.85869434,57,1.07088036655
ENSG00000075073,25,415,gcpREV-G,gpcr,-4599.94973154,9334.78352245,67,2.67571211031
ENSG00000160654,28,188,HIVBm-No,gpcr,-4628.83082947,9403.68670228,72,5.78128128471
ENSG00000147434,23,501,WAG-No,gpcr,-5735.80823508,11596.2981455,62,1.43863698751
ENSG00000180245,21,388,gcpREV-No,gpcr,-4818.31746514,9753.48101755,58,2.15937876809
ENSG00000112964,20,688,HIVBm-G,gpcr,-7182.42507283,14479.332703,57,1.94529336657
ENSG00000168575,20,671,JC69-G,gpcr,-5592.13719464,11298.7692254,57,1.29163056599
ENSG00000171657,26,345,JC69-No,gpcr,-5129.5844909,10396.2232454,68,2.17221061687
ENSG00000094755,23,447,HIVBm-No,gpcr,-3166.85333218,6458.47119753,62,0.662566875193
ENSG00000107779,22,538,WAG-No,gpcr,-2781.37235113,5681.34592509,59,0.330804250035
ENSG00000138271,24,375,mtMet-No,gpcr,-3246.9472783,6622.82572616,64,1.04494629561
ENSG00000108556,20,520,HIVBm-No,gpcr,-5500.72238042,11114.0619899,56,1.49808533629
ENSG00000173890,22,341,HIVBm-No,gpcr,-5277.07827023,10675.1402792,60,3.25667276053
ENSG00000180616,25,375,JC69-No,gpcr,-2877.23462364,5887.41939769,66,0.7287105635
ENSG00000108947,20,346,gcpREV-No,gpcr,-2224.49696532,4561.92413608,56,0.628588951237
ENSG00000135898,24,334,mtMet-No,gpcr,-5768.31663902,11665.6796873,64,3.2022320039
ENSG00000147434,23,501,LG-G,gpcr,-5394.98039549,10916.6645173,63,1.72630010518
ENSG00000162594,20,698,WAG-G,gpcr,-10883.0393652,21880.5543454,57,3.6300327674
ENSG00000116329,20,396,JC69-G,gpcr,-2772.8221234,5660.48525418,57,0.849917036879
ENSG00000183813,21,376,gcpREV-No,gpcr,-3572.38620419,7259.61599093,57,1.35150238825
ENSG00000137070,20,470,JTT-G,gpcr,-5717.88044306,11550.4686575,57,3.06970883792
ENSG00000174804,22,542,LG-No,gpcr,-2792.57095115,5705.75894689,60,0.321434624253
ENSG00000164604,26,370,mtMet-G,gpcr,-1236.5492612,2583.74260437,55,0.09353313348
ENSG00000167286,26,210,HIVBm-No,gpcr,-4498.93118535,9135.60304961,68,6.45500072171
ENSG00000155249,22,324,JTT-G,gpcr,-2776.42188959,5675.91425753,61,1.18702129805
ENSG00000163485,20,368,WAG-G,gpcr,-2529.16405686,5173.23361906,57,1.0990336515
ENSG00000186306,20,325,LG-G,gpcr,-3249.92763703,6614.88166338,57,2.06153117366
ENSG00000184933,23,328,mtMet-G,gpcr,-2915.60919504,5958.29646495,63,1.86271008687
ENSG00000133800,25,381,JTT-No,gpcr,-6472.51222216,13077.9595257,66,3.65730738012
ENSG00000139636,24,494,JC69-No,gpcr,-3080.20815328,6289.12192949,64,0.461555612752
ENSG00000173612,21,943,WAG-G,gpcr,-10445.5638078,21009.4862236,59,1.78800368879
ENSG00000127364,23,313,LG-G,gpcr,-6672.45341531,13472.0370338,63,6.56908416483
ENSG00000172377,22,317,mtMet-No,gpcr,-3893.435309,7907.92949258,60,2.25365854531
ENSG00000165029,20,2293,gcpREV-No,gpcr,-15942.8744957,31997.888371,56,0.634381781997
ENSG00000157219,25,370,HIVBm-G,gpcr,-4555.15053528,9245.29344694,67,3.04223546256
ENSG00000168079,22,508,LG-No,gpcr,-5445.70862366,11012.0758168,60,1.57924455912
ENSG00000171631,21,384,LG-No,gpcr,-3528.61872606,7174.09241776,58,1.32115793302
ENSG00000204420,25,298,WAG-G,gpcr,-5456.68341061,11048.601175,67,4.89698280277
ENSG00000134853,20,1112,HIVBm-G,gpcr,-8135.51799007,16385.3340597,57,1.01877529342
ENSG00000166148,21,433,JC69-No,gpcr,-5535.25424786,11187.2660782,58,1.685898994
ENSG00000133019,25,594,HIVBm-G,gpcr,-4859.23027274,9853.07697085,67,1.29536691923
ENSG00000121594,20,357,HIVBm-G,gpcr,-6371.61619309,12858.1660208,57,7.50610181526
ENSG00000168079,22,508,mtMet-No,gpcr,-5444.85734837,11010.3732662,60,1.6325752818
ENSG00000165029,20,2293,mtMet-No,gpcr,-15967.3382578,32046.8158952,56,0.633701298253
ENSG00000168575,20,671,mtMet-No,gpcr,-5361.25393322,10834.9856035,56,0.87835533614
ENSG00000172215,26,404,JC69-G,gpcr,-7334.23348827,14807.392796,69,4.44994663443
ENSG00000146904,20,1002,LG-No,gpcr,-9686.88056127,19486.0805941,56,1.1990667024
ENSG00000135312,21,392,JC69-No,gpcr,-3195.65191086,6508.14121314,58,0.794254165126
ENSG00000176299,24,313,JC69-G,gpcr,-2608.95305491,5349.05840636,65,1.01598744813
ENSG00000181072,23,468,JTT-No,gpcr,-2821.5981739,5767.92637303,62,0.505526553065
ENSG00000183150,22,415,JTT-No,gpcr,-4098.96407853,8318.73530228,60,1.36912537387
ENSG00000173890,22,341,JTT-G,gpcr,-5164.62659941,10452.2698655,61,3.23316386336
ENSG00000180269,23,354,HIVBm-G,gpcr,-1819.01946806,3758.94476461,60,0.475842667278
ENSG00000147434,23,501,gcpREV-G,gpcr,-5296.71807916,10720.1398847,63,1.7962310306
ENSG00000179097,20,368,gcpREV-G,gpcr,-2443.55896592,5002.02343718,57,0.739078943885
ENSG00000155249,22,324,WAG-No,gpcr,-2884.39389823,5889.82359666,60,1.02405673006
ENSG00000182974,23,313,mtMet-No,gpcr,-2452.53388699,5030.16250493,62,0.784483398857
ENSG00000173391,25,489,JTT-No,gpcr,-7414.36905963,14961.4655415,66,4.50766824794
ENSG00000174946,22,329,JTT-G,gpcr,-3128.67552618,6378.37097713,60,1.70586906233
ENSG00000144648,22,407,JTT-No,gpcr,-5813.60464707,11748.0324135,60,2.71055401641
ENSG00000184140,21,315,LG-G,gpcr,-4326.79298797,8772.66606747,59,2.75923886661
ENSG00000180708,20,351,gcpREV-No,gpcr,-3818.52394738,7749.96474094,56,2.0232271241
ENSG00000175898,21,356,gcpREV-G,gpcr,-3065.32375805,6249.60220866,59,1.5782028526
ENSG00000173391,25,489,gcpREV-No,gpcr,-7542.29196102,15217.3113443,66,4.63215032647
ENSG00000166884,24,315,JTT-No,gpcr,-3546.8139516,7222.73797658,64,1.49829527831
ENSG00000135409,21,592,HIVBm-No,gpcr,-6316.18888943,12748.9309188,58,1.64062217571
ENSG00000138271,24,375,LG-G,gpcr,-3008.99594514,6148.95226638,65,1.74706586825
ENSG00000128519,20,301,mtMet-G,gpcr,-6093.99227784,12303.0935795,57,7.16189444291
ENSG00000132975,25,335,JC69-No,gpcr,-3027.54956564,6186.13174652,65,1.04868434476
ENSG00000094755,23,447,JTT-No,gpcr,-3147.10003149,6418.96459616,62,0.64829054139
ENSG00000113070,23,216,JTT-No,gpcr,-2287.15549925,4699.90365905,62,1.45811300432
ENSG00000139572,23,399,mtMet-G,gpcr,-4826.61793836,9780.12076643,63,2.97193793067
ENSG00000173391,25,489,gcpREV-G,gpcr,-7386.29257672,14907.3346805,67,6.89951893162
ENSG00000172935,20,345,mtMet-G,gpcr,-3525.03359745,7165.03357899,57,1.71181656113
ENSG00000172381,22,319,HIVBm-No,gpcr,-3749.77752154,7620.60722074,60,2.08571978773
ENSG00000196639,23,507,WAG-No,gpcr,-7697.46364702,15519.6008584,62,2.57273047408
ENSG00000135409,21,592,WAG-No,gpcr,-6445.87547358,13008.3040871,58,1.55173712866
ENSG00000156097,22,452,HIVBm-No,gpcr,-2615.8127396,5350.34178838,59,0.464091859642
ENSG00000135973,21,374,JTT-G,gpcr,-3586.70375136,7292.3158938,59,1.6237862074
ENSG00000169313,20,360,JC69-No,gpcr,-3345.7331594,6804.36006092,56,1.11251053791
ENSG00000180245,21,388,JTT-G,gpcr,-4559.7863882,9238.44814732,59,2.89005594819
ENSG00000153563,20,306,gcpREV-G,gpcr,-5455.9613264,11027.0133819,57,6.74114197234
ENSG00000204305,21,477,HIVBm-G,gpcr,-5479.52351053,11077.7580786,59,2.63273519228
ENSG00000151617,20,428,LG-No,gpcr,-2781.9038926,5676.55857904,56,0.549919071853
ENSG00000120659,24,328,WAG-G,gpcr,-3407.32784545,6945.7548454,65,1.55313670245
ENSG00000186188,24,385,HIVBm-No,gpcr,-4439.3984421,9007.70369618,64,1.74358717629
ENSG00000161911,26,381,WAG-G,gpcr,-7798.50814995,15735.9984064,69,6.61338616042
ENSG00000165370,21,537,WAG-G,gpcr,-5930.48667446,11979.6045337,59,2.16026864233
ENSG00000122375,20,569,LG-G,gpcr,-6544.05190354,13202.6878028,57,2.93571743434
ENSG00000172381,22,319,JTT-G,gpcr,-3574.68987316,7272.46715288,61,2.66707642629
ENSG00000132975,25,335,JTT-No,gpcr,-2584.62611434,5300.28484391,65,0.884463497142
ENSG00000075073,25,415,JC69-G,gpcr,-5061.38904797,10257.6621553,67,2.43474717186
ENSG00000188778,23,427,JTT-G,gpcr,-5532.50492261,11191.8363288,63,3.62066693554
ENSG00000133019,25,594,gcpREV-No,gpcr,-5219.00212086,10570.6024965,66,0.971971415423
ENSG00000204475,20,220,JTT-No,gpcr,-3556.28018955,7226.03033074,56,3.41377394685
ENSG00000144476,29,364,mtMet-G,gpcr,-3455.66348264,7062.41475154,75,1.72550954553
ENSG00000110195,20,271,WAG-G,gpcr,-3684.35811721,7483.9493564,57,2.88495515158
ENSG00000007312,20,296,mtMet-G,gpcr,-3948.98391677,8013.09577621,57,4.38430682539
ENSG00000137872,25,1091,JC69-No,gpcr,-7509.75121521,15151.8274819,66,0.687404151835
ENSG00000181773,22,331,JC69-G,gpcr,-2679.68290601,5482.41345745,61,2.55327021617
ENSG00000164849,24,337,gcpREV-No,gpcr,-4651.61729275,9432.27160407,64,2.31676246438
ENSG00000144891,21,359,JC69-No,gpcr,-2631.21683438,5377.31750782,57,0.679956902757
ENSG00000160654,28,188,LG-G,gpcr,-4469.61232907,9087.30635371,73,7.41455346755
ENSG00000204174,25,377,JTT-No,gpcr,-5563.21170222,11259.3684782,66,2.38355806062
ENSG00000106128,20,503,mtMet-G,gpcr,-5763.33348694,11641.3280417,57,3.15181027093
ENSG00000160654,28,188,gcpREV-No,gpcr,-4686.88755059,9519.80014453,72,5.61144143766
ENSG00000135960,20,487,JTT-No,gpcr,-4062.72229228,8238.10388436,56,0.990127454648
ENSG00000135960,20,487,mtMet-No,gpcr,-4129.85544678,8372.37019336,56,1.00275475639
ENSG00000174417,28,413,LG-No,gpcr,-3173.71688535,6492.3485736,72,0.888050501302
ENSG00000184194,22,385,WAG-G,gpcr,-1639.49054503,3389.7132032,55,0.245880137566
ENSG00000150048,24,285,JC69-No,gpcr,-5101.47572826,10332.1795008,64,2.77040849435
ENSG00000108556,20,520,LG-G,gpcr,-5277.69920056,10670.0377359,57,1.85856377133
ENSG00000172209,21,470,JC69-No,gpcr,-2107.20110257,4327.05277071,56,0.222095763539
ENSG00000165029,20,2293,LG-No,gpcr,-15992.9132533,32097.9658861,56,0.630228275662
ENSG00000164930,22,723,LG-G,gpcr,-6323.6224184,12769.7222415,61,1.16466030413
ENSG00000170820,22,697,gcpREV-G,gpcr,-6822.34585902,13767.1870035,61,1.46678309624
ENSG00000156097,22,452,WAG-No,gpcr,-2661.08707943,5440.89046805,59,0.454664751256
ENSG00000147262,23,472,mtMet-No,gpcr,-4722.94282129,9570.60944504,62,1.84862572393
ENSG00000183840,24,474,mtMet-No,gpcr,-6494.00602593,13116.747619,64,2.24703579363
ENSG00000151577,22,460,LG-G,gpcr,-4356.9078391,8836.56771639,61,1.91574921738
ENSG00000174417,28,413,HIVBm-No,gpcr,-3141.45469266,6427.8241882,72,0.927603205165
ENSG00000108556,20,520,JTT-No,gpcr,-5399.39553691,10911.4083029,56,1.41580845118
ENSG00000139636,24,494,HIVBm-No,gpcr,-2776.09402639,5680.89367572,64,0.426283833496
ENSG00000182854,22,343,WAG-No,gpcr,-4663.70972007,9448.39739605,60,2.37889747889
ENSG00000197309,23,317,JTT-G,gpcr,-4448.7911725,9024.6981607,63,2.88520901343
ENSG00000137872,25,1091,JC69-G,gpcr,-7288.83244589,14711.9998056,67,0.835703790639
ENSG00000181072,23,468,gcpREV-G,gpcr,-2778.24818623,5683.25001733,63,0.612775899459
ENSG00000161911,26,381,LG-G,gpcr,-7869.38343626,15877.7489791,69,7.4655429349
ENSG00000181927,21,321,gcpREV-G,gpcr,-4649.56886882,9418.19745925,59,3.37102636495
ENSG00000174804,22,542,LG-G,gpcr,-2707.94243464,5538.52253578,61,0.436039802894
ENSG00000116329,20,396,LG-No,gpcr,-2696.31117896,5505.43426177,56,0.754766424938
ENSG00000172377,22,317,JC69-G,gpcr,-4241.55512464,8606.20457798,61,2.62892875974
ENSG00000136869,21,847,gcpREV-G,gpcr,-14588.4799717,29295.3593341,59,4.23355797148
ENSG00000139636,24,494,LG-No,gpcr,-2813.76936897,5756.24436087,64,0.422866195578
ENSG00000137462,23,788,JC69-G,gpcr,-14501.0693658,29128.5852432,63,3.40480963748
ENSG00000204475,20,220,LG-G,gpcr,-3489.11007577,7093.74295209,57,5.81140412252
ENSG00000139636,24,494,JC69-G,gpcr,-2997.87928934,6126.48631405,65,0.527241596737
ENSG00000198104,20,317,gcpREV-G,gpcr,-3490.56904169,7096.19061441,57,1.93669975599
ENSG00000102076,20,417,HIVBm-No,gpcr,-3929.58122559,7971.93318643,56,1.46382330515
ENSG00000112964,20,688,HIVBm-No,gpcr,-7366.58099267,14845.6278687,56,1.69540932113
ENSG00000169313,20,360,WAG-G,gpcr,-2928.6686497,5972.26309049,57,1.39104745272
ENSG00000161649,21,486,JC69-No,gpcr,-8376.24734527,16869.1691756,58,4.92004815127
ENSG00000094755,23,447,gcpREV-No,gpcr,-3167.00430647,6458.77314611,62,0.651743731312
ENSG00000116824,27,405,LG-G,gpcr,-11383.2457751,22909.4327267,71,9.69012016415
ENSG00000164849,24,337,mtMet-G,gpcr,-4497.57239063,9126.21433997,65,2.80051944578
ENSG00000139874,21,392,gcpREV-G,gpcr,-1761.54059263,3641.94755824,59,0.304670382364
ENSG00000198851,21,220,gcpREV-G,gpcr,-4028.60125077,8176.75513312,59,5.9310057722
ENSG00000179546,24,378,WAG-No,gpcr,-4022.33582786,8173.5953817,64,1.46303271228
ENSG00000174944,21,346,gcpREV-No,gpcr,-4967.77157801,10052.4927883,58,2.41811174911
ENSG00000165202,24,314,gcpREV-G,gpcr,-4077.50378441,8286.15616319,65,2.74463557071
ENSG00000126010,24,391,HIVBm-No,gpcr,-3044.15742272,6217.20764509,64,0.86805839878
ENSG00000111291,28,357,mtMet-G,gpcr,-5426.54121319,11000.1713197,73,4.09763272449
ENSG00000176299,24,313,LG-No,gpcr,-2429.18321132,4987.48365105,64,0.763305816435
ENSG00000186513,23,318,WAG-No,gpcr,-4170.19979702,8465.47696267,62,2.00472393484
ENSG00000102239,28,402,JTT-No,gpcr,-5101.75879985,10348.4575979,72,1.84640884692
ENSG00000171014,20,318,HIVBm-No,gpcr,-3203.36641492,6519.74568086,56,1.28193938918
ENSG00000105976,22,1422,LG-G,gpcr,-11180.2254793,22482.6932237,61,1.0309981408
ENSG00000164849,24,337,gcpREV-G,gpcr,-4528.55538989,9188.1803385,65,2.6830589265
ENSG00000198967,22,313,WAG-No,gpcr,-3467.37213117,7055.81678981,60,1.47742326932
ENSG00000153563,20,306,WAG-No,gpcr,-5458.87307016,11030.7990844,56,5.106344297
ENSG00000137070,20,470,gcpREV-No,gpcr,-5973.02225559,12058.7278035,56,2.53636612644
ENSG00000127364,23,313,mtMet-No,gpcr,-6792.21828793,13709.5313068,62,5.12922143782
ENSG00000164604,26,370,gcpREV-G,gpcr,-1237.41710064,2585.47828325,55,0.0927298008301
ENSG00000171860,21,503,JC69-G,gpcr,-9335.20554298,18789.0851791,59,3.44480952409
ENSG00000115221,21,793,WAG-No,gpcr,-6262.28550825,12640.9834547,58,0.826700164808
ENSG00000180616,25,375,LG-G,gpcr,-2559.40636148,5253.79177099,67,1.2960862153
ENSG00000164930,22,723,mtMet-G,gpcr,-6198.31088864,12519.099182,61,1.19802980228
ENSG00000140749,22,255,gcpREV-G,gpcr,-4626.23091394,9375.82520208,61,5.03249141766
ENSG00000204174,25,377,HIVBm-G,gpcr,-5396.74605281,10928.465922,67,3.13761483191
ENSG00000135898,24,334,HIVBm-G,gpcr,-5335.41644525,10801.9121358,65,4.42265659221
ENSG00000139572,23,399,JC69-G,gpcr,-5397.61205184,10922.1089934,63,2.39386947463
ENSG00000169618,24,395,LG-No,gpcr,-3782.42855377,7693.74080377,64,1.18945313752
ENSG00000183150,22,415,mtMet-G,gpcr,-3949.5036392,8021.84142043,61,2.16398500519
ENSG00000182974,23,313,mtMet-G,gpcr,-2362.31187489,4851.75395301,63,1.02492991499
ENSG00000124557,21,543,JC69-G,gpcr,-8593.92740439,17306.4789823,59,3.37364595784
ENSG00000135577,24,402,gcpREV-G,gpcr,-4105.38770393,8341.67083679,65,2.1409693498
ENSG00000181803,20,332,HIVBm-No,gpcr,-3480.34670448,7073.66317958,56,1.35835679266
ENSG00000102468,30,472,WAG-No,gpcr,-5091.45882383,10335.7487206,76,1.30540815157
ENSG00000182749,24,353,gcpREV-G,gpcr,-3628.64570355,7388.3121066,65,1.8667563075
ENSG00000128519,20,301,LG-G,gpcr,-6204.51368681,12524.1363974,57,6.40333548616
ENSG00000148604,22,308,JC69-No,gpcr,-4028.7099987,8178.5100942,60,1.848349389
ENSG00000187037,24,317,JC69-G,gpcr,-5455.22508653,11041.5878023,65,11.4579509179
ENSG00000183625,21,382,JC69-No,gpcr,-6689.01072527,13494.8809256,58,3.0616496242
ENSG00000171517,26,372,gcpREV-G,gpcr,-2953.35961594,6045.7252723,69,1.07606598914
ENSG00000183840,24,474,LG-No,gpcr,-6449.68738873,13028.1103446,64,2.21328301173
ENSG00000175591,20,401,JC69-G,gpcr,-4255.85926996,8626.54898454,57,2.14255169281
ENSG00000165029,20,2293,LG-G,gpcr,-15481.295598,31076.7355566,57,0.776270758487
ENSG00000169836,21,484,JTT-No,gpcr,-4566.88898675,9250.45526197,58,1.22124652184
ENSG00000166160,20,417,HIVBm-No,gpcr,-3951.64259291,8016.05592107,56,1.47721642077
ENSG00000173402,23,899,WAG-No,gpcr,-6905.95937215,13936.2977101,62,0.763370583731
ENSG00000165029,20,2293,JC69-G,gpcr,-16564.8689626,33243.8822857,57,0.809718133333
ENSG00000170214,28,528,gcpREV-No,gpcr,-3913.66495768,7972.04448268,72,0.858336442798
ENSG00000133019,25,594,mtMet-No,gpcr,-5173.47336454,10479.5449838,66,0.972959257097
ENSG00000139679,22,347,HIVBm-No,gpcr,-2431.68193243,4982.29864173,59,0.691208291464
ENSG00000170075,21,493,gcpREV-G,gpcr,-5557.1986832,11233.0852125,59,2.24003867692
ENSG00000184394,24,318,JC69-No,gpcr,-3374.48552676,6878.07056456,64,1.81991276833
ENSG00000011677,20,501,LG-G,gpcr,-2585.52572,5285.71516213,57,0.513074428213
ENSG00000197403,20,312,JTT-G,gpcr,-2682.05848577,5479.18652831,57,1.19003585686
ENSG00000117400,20,712,JC69-G,gpcr,-10250.7184978,20615.9032204,57,3.19621499882
ENSG00000133019,25,594,LG-G,gpcr,-4976.4672886,10087.5510026,67,1.2290638164
ENSG00000121853,26,371,mtMet-No,gpcr,-3150.56690006,6436.08514695,67,0.95971232044
ENSG00000174417,28,413,WAG-No,gpcr,-3148.04465003,6441.00410295,72,0.876652260259
ENSG00000180708,20,351,HIVBm-G,gpcr,-3715.22546869,7545.40066447,57,2.86040397151
ENSG00000181803,20,332,WAG-No,gpcr,-3538.41704747,7189.80386555,56,1.33042707912
ENSG00000147262,23,472,mtMet-G,gpcr,-4545.67582549,9218.09887114,63,2.37651948673
ENSG00000102076,20,417,gcpREV-G,gpcr,-3786.397793,7687.59394388,57,1.81071109571
ENSG00000112964,20,688,gcpREV-G,gpcr,-7333.36219237,14781.206942,57,2.0048457438
ENSG00000147380,20,417,LG-No,gpcr,-3900.36389654,7913.49852832,56,1.36577111222
ENSG00000198104,20,317,HIVBm-No,gpcr,-3696.44448394,7505.905043,56,1.74059165121
ENSG00000169860,22,376,WAG-No,gpcr,-2435.40652472,4991.70453647,60,0.583515674154
ENSG00000120217,28,307,mtMet-No,gpcr,-6555.51047051,13256.2543096,72,4.4644525407
ENSG00000135960,20,487,WAG-G,gpcr,-3977.52155305,8069.72602285,57,1.41503035614
ENSG00000176893,20,314,gcpREV-No,gpcr,-2937.99272049,5989.01131275,56,1.1584190529
ENSG00000198851,21,220,HIVBm-No,gpcr,-4303.58318334,8724.6669148,58,4.78587995675
ENSG00000180708,20,351,JC69-No,gpcr,-4246.2108831,8605.33861238,56,2.06232975939
ENSG00000036828,25,1110,LG-No,gpcr,-9285.88466649,18704.088807,66,0.919951606019
ENSG00000139874,21,392,HIVBm-No,gpcr,-1767.38468714,3651.60676569,58,0.256134928479
ENSG00000171014,20,318,gcpREV-G,gpcr,-3030.63313966,6176.31547006,57,1.93543621306
ENSG00000183625,21,382,HIVBm-G,gpcr,-5746.78277436,11612.4547725,59,4.9419949422
ENSG00000165202,24,314,HIVBm-No,gpcr,-4215.45328198,8560.02020337,64,2.02418462903
ENSG00000126010,24,391,gcpREV-G,gpcr,-2864.85509184,5860.63098213,65,1.34498600569
ENSG00000172209,21,470,mtMet-No,gpcr,-1997.39486054,4107.44028666,56,0.201884992832
ENSG00000184394,24,318,HIVBm-G,gpcr,-2895.64057665,5922.41517391,65,4.78624842867
ENSG00000151617,20,428,JC69-G,gpcr,-2856.44764041,5827.67298018,57,0.654153281381
ENSG00000164849,24,337,HIVBm-No,gpcr,-4606.06270311,9341.16242479,64,2.36614617294
ENSG00000159164,20,744,WAG-No,gpcr,-3100.70040911,6313.83150028,56,0.173298829653
ENSG00000186188,24,385,LG-G,gpcr,-4290.59364739,8712.12254659,65,2.2024589585
ENSG00000139636,24,494,gcpREV-G,gpcr,-2725.03399742,5580.79573021,65,0.481430761752
ENSG00000166856,20,412,JC69-G,gpcr,-6594.1536439,13303.1154032,57,3.0622515164
ENSG00000186943,22,320,WAG-G,gpcr,-3667.35348094,7457.79094009,61,1.99430298334
ENSG00000171517,26,372,WAG-G,gpcr,-2971.34144991,6081.68894023,69,1.01400979101
ENSG00000172935,20,345,LG-G,gpcr,-3602.4731164,7319.91261689,57,1.66631604455
ENSG00000198851,21,220,JTT-G,gpcr,-4003.79624975,8127.14513108,59,5.58394450649
ENSG00000154309,20,1560,mtMet-No,gpcr,-16169.0517954,32450.3085806,56,1.49294652542
ENSG00000174417,28,413,gcpREV-G,gpcr,-3052.55502308,6252.05034208,73,1.12524465466
ENSG00000148604,22,308,HIVBm-G,gpcr,-3407.31326587,6937.75313287,61,2.09767644018
ENSG00000184194,22,385,gcpREV-No,gpcr,-1636.68920185,3382.08428606,54,0.23764825593
ENSG00000148604,22,308,WAG-G,gpcr,-3496.31158606,7115.74977325,61,1.93718708074
ENSG00000174946,22,329,WAG-No,gpcr,-3349.15224641,6817.29084,59,1.34901481455
ENSG00000184984,26,533,mtMet-No,gpcr,-5649.68831443,11436.0571713,68,1.31778136505
ENSG00000118432,32,476,LG-G,gpcr,-2271.63428472,4704.12395852,80,0.350121472606
ENSG00000172209,21,470,JTT-No,gpcr,-1981.01872913,4074.68802384,56,0.201708903276
ENSG00000168685,23,476,LG-G,gpcr,-9019.10178347,18164.944471,63,4.66672956889
ENSG00000135898,24,334,JTT-No,gpcr,-5629.05443735,11387.155284,64,3.09573721003
ENSG00000181072,23,468,HIVBm-No,gpcr,-2844.89393177,5814.51788876,62,0.517068588439
ENSG00000094755,23,447,LG-No,gpcr,-3173.65687483,6472.07828284,62,0.649243023684
ENSG00000186943,22,320,JTT-No,gpcr,-3697.56430497,7516.1774708,60,1.72294631075
ENSG00000115353,22,409,LG-G,gpcr,-2508.2844986,5139.41546094,61,0.629484585263
ENSG00000109991,20,400,gcpREV-No,gpcr,-2645.20676035,5403.21724724,56,0.564628814537
ENSG00000136869,21,847,HIVBm-No,gpcr,-15253.4424951,30623.2710461,58,3.54050662361
ENSG00000102239,28,402,mtMet-G,gpcr,-4948.53958183,10044.0453593,73,2.52226901183
ENSG00000135898,24,334,JC69-No,gpcr,-6313.94519872,12756.9368067,64,3.19919938454
ENSG00000204174,25,377,JC69-No,gpcr,-6414.27269981,12961.4904734,66,2.55120514422
ENSG00000181927,21,321,HIVBm-No,gpcr,-4823.74076305,9764.50577034,58,2.79418902478
ENSG00000182749,24,353,LG-No,gpcr,-3892.33348755,7913.65662658,64,1.47563360555
ENSG00000164930,22,723,LG-No,gpcr,-6602.88517749,13326.2323304,60,1.04356967766
ENSG00000174944,21,346,JTT-No,gpcr,-4897.00424881,9910.95812993,58,2.36919674689
ENSG00000166160,20,417,gcpREV-G,gpcr,-3802.71328264,7720.22492316,57,1.81751668786
ENSG00000177535,23,322,mtMet-No,gpcr,-4136.93894125,8398.94175286,62,2.05427001486
ENSG00000171517,26,372,HIVBm-No,gpcr,-3061.6128577,6260.20291003,68,0.901955033373
ENSG00000147145,21,370,LG-No,gpcr,-1593.7075194,3304.30260201,58,0.213638620825
ENSG00000170075,21,493,HIVBm-No,gpcr,-5663.41296037,11443.4907741,58,1.84314275902
ENSG00000139679,22,347,gcpREV-G,gpcr,-2338.81658293,4798.5997577,60,0.845399380742
ENSG00000213694,20,389,JC69-G,gpcr,-4404.32812805,8923.51251096,57,2.06597920804
