dataset,sequences,sites,model,type,logl,AICc,GammaShape
petN,332,37,JTT-G,chloro,-397.031890772,1589.04445056,1.80900838945
rps7,655,166,JTT-G,chloro,-4576.89778922,10903.7819498,0.901420857851
ND3,352,132,WAG-No,mito,-20592.5867138,42602.4954859,NA
ndhA,315,411,JC69-No,chloro,-21762.8188551,44729.2156406,NA
ndhF,315,891,JTT-G,chloro,-60089.9862487,121430.757814,0.61954596926
ND4,349,475,LG-No,mito,-83606.5394175,168608.939302,NA
psbN,339,45,gcpREV-No,chloro,-604.597414135,2026.5736651,NA
rbcL,337,509,JTT-G,chloro,-11911.9188425,25157.0061192,0.268597419807
ndhA,315,411,WAG-No,chloro,-17864.3620823,36932.302095,NA
ycf3,335,197,JTT-No,chloro,-3600.4565106,8265.44606125,NA
psbF,341,50,mtVer-G,chloro,-337.166807942,1445.4288654,0.671828507863
COX3,350,264,LG-G,mito,-20848.9975441,43098.5446826,0.375892370903
rpoC2,334,2291,WAG-G,chloro,-119004.469755,239336.091151,0.85804943329
COX3,350,264,WAG-No,mito,-22794.4196136,46987.3583919,NA
psbK,341,82,JTT-No,chloro,-3581.86135014,8354.59464125,NA
rps15,401,143,JTT-G,chloro,-7268.13183966,15904.4162929,1.16416500191
ycf1,352,7031,WAG-No,chloro,-320027.502988,641457.403762,NA
ndhC,314,142,LG-G,chloro,-3841.99959363,8746.53379758,0.412437222034
ATP6,352,243,mtVer-No,mito,-34118.6767623,69650.9550522,NA
rpl20,343,193,gcpREV-No,chloro,-11891.9246171,25045.7824995,NA
ndhC,314,142,JTT-No,chloro,-3812.13361963,8684.75390608,NA
atpE,340,154,mtVer-No,chloro,-7236.99115683,15692.0096336,NA
rps12,604,265,JC69-No,chloro,-5577.95452997,12903.4075209,NA
psbD,340,359,JTT-G,chloro,-2549.07015164,6070.00195246,0.119761023626
COX1,344,537,JTT-No,mito,-25970.4560841,53309.974039,NA
ndhJ,316,177,mtVer-G,chloro,-4736.53685023,10545.2719676,0.427630625471
rps7,655,166,mtVer-No,chloro,-5115.17282967,11978.2997117,NA
psbL,324,68,mtVer-G,chloro,-513.554730407,1754.96956325,0.308163010199
rpl14,346,143,LG-G,chloro,-4686.51775653,10524.2983739,0.692079673167
rps2,340,278,WAG-No,chloro,-13402.176996,28040.3963753,NA
petB,335,274,gcpREV-No,chloro,-3360.66461323,7795.59058201,NA
rpl16,343,199,JC69-G,chloro,-6700.92798214,14618.6230256,0.427643360604
COX2,347,242,gcpREV-G,mito,-18886.8467302,39152.9444058,0.480995662121
ND1,352,347,JTT-No,mito,-43842.079579,89094.2634711,NA
rpoC2,334,2291,gcpREV-No,chloro,-121363.755894,244052.659959,NA
ndhK,301,390,JC69-No,chloro,-14416.4935585,29944.2314253,NA
atpB,336,547,LG-G,chloro,-13330.9418913,27918.1695576,0.292528706827
COX2,347,242,LG-G,mito,-20329.8382827,42038.9275108,0.520468853405
ND4,349,475,JC69-G,mito,-85798.6854759,172995.248319,0.505561474887
ND1,352,347,mtVer-No,mito,-41287.9358366,83985.9759864,NA
ycf3,335,197,LG-No,chloro,-3775.7507341,8616.03450825,NA
matK,341,773,JC69-No,chloro,-79482.8942377,160307.198067,NA
rps8,349,199,mtVer-No,chloro,-10380.2671035,22032.0869534,NA
ndhF,315,891,JC69-G,chloro,-70289.0682185,141828.921753,0.445802070383
ND1,352,347,LG-No,mito,-45586.673232,92583.4507771,NA
ndhC,314,142,JTT-G,chloro,-3587.00224202,8236.53909436,0.51522478939
rps15,401,143,gcpREV-G,chloro,-7157.07309592,15682.2988054,1.38861535007
COX1,344,537,LG-No,mito,-27439.9603336,56248.9825379,NA
rps2,340,278,JTT-G,chloro,-12519.1325099,26276.3336856,0.761960876574
psbJ,342,41,gcpREV-No,chloro,-793.533474603,2529.79190313,NA
psaA,339,776,JTT-No,chloro,-11442.140292,24105.1114801,NA
rpl14,346,143,WAG-G,chloro,-4501.62901824,10154.5208974,0.662043487947
matK,341,773,JC69-G,chloro,-75882.4509266,153108.321651,0.670952242566
psbN,339,45,JC69-G,chloro,-688.544829823,2196.57737422,0.713195373171
COX2,347,242,JC69-No,mito,-25051.6391895,51480.4963403,NA
COX3,350,264,mtVer-G,mito,-18878.2674214,39157.0844371,0.469967734847
rpl16,343,199,mtVer-No,chloro,-6622.2827928,14459.2968358,NA
psbA,344,362,JTT-G,chloro,-2567.97780989,6142.01125327,0.167959910388
CYTB,348,394,gcpREV-G,mito,-42200.2217102,85795.5148264,0.531039203896
ndhB,604,807,LG-G,chloro,-13116.3449652,28166.5224599,1.0342193187
rpoB,334,1239,JC69-G,chloro,-56408.0753039,114110.17376,0.446666983217
rpl20,343,193,LG-No,chloro,-12437.2481381,26136.4295415,NA
ATP6,352,243,JTT-No,mito,-35538.2151182,72490.031764,NA
ycf4,334,233,gcpREV-G,chloro,-9646.21869361,20515.9966899,0.961410336737
psbF,341,50,mtVer-No,chloro,-341.480207744,1451.96419405,NA
COX2,347,242,LG-No,mito,-22227.6246862,45832.4673337,NA
ycf2,537,5835,mtVer-No,chloro,-191574.299626,385211.278606,NA
ndhK,301,390,gcpREV-No,chloro,-12111.0574953,25333.3592989,NA
ND1,352,347,JC69-No,mito,-52205.952809,105822.009931,NA
rps4,342,253,LG-G,chloro,-11137.9286157,23516.7054777,0.638072563131
ndhI,316,213,JC69-G,chloro,-7650.70617417,16440.9952197,0.331901346251
psaJ,339,68,JTT-G,chloro,-1307.62272654,3622.83797014,0.494017450954
psbT,341,43,LG-No,chloro,-666.035213706,2235.10670413,NA
ND2,352,356,LG-No,mito,-86195.1313024,173800.160879,NA
petD,341,211,mtVer-G,chloro,-2739.51834447,6538.79884172,0.231367421995
atpH,342,92,gcpREV-No,chloro,-743.419306118,2262.3027049,NA
psbA,344,362,JC69-G,chloro,-2808.682217,6623.4200675,0.0896634653529
ycf4,334,233,mtVer-G,chloro,-10027.7296339,21279.0185704,0.838429921398
petN,332,37,mtVer-G,chloro,-392.883361425,1580.74739187,1.33564972926
ycf1,352,7031,LG-G,chloro,-314835.530817,631075.460554,1.34648832452
ndhG,314,219,mtVer-No,chloro,-9937.27736181,21024.0999982,NA
rps12,604,265,JC69-G,chloro,-5076.39096541,11902.3023122,0.358770675232
ndhA,315,411,gcpREV-G,chloro,-16007.9274487,33221.4514953,0.582581838337
petB,335,274,JC69-G,chloro,-3424.76393207,7925.81273933,0.175742098965
psbB,327,518,JTT-G,chloro,-7910.7766526,16987.5596321,0.295392042114
rpoC2,334,2291,mtVer-G,chloro,-119464.592575,240256.33679,0.737815830062
ndhE,322,107,JTT-G,chloro,-3215.30898799,7490.7098094,0.927629928272
rps2,340,278,JC69-No,chloro,-16129.5175626,33495.0775085,NA
rps4,342,253,JTT-G,chloro,-10677.3214455,22595.4911374,0.646108263017
petG,341,38,JTT-No,chloro,-498.145386602,1821.83827659,NA
rpl22,316,352,JC69-No,chloro,-19581.7804642,40337.7362427,NA
atpF,338,257,JC69-No,chloro,-15566.2816452,32403.8123569,NA
ndhH,328,578,mtVer-No,chloro,-13984.8998159,29177.6413513,NA
rpoC1,336,898,WAG-G,chloro,-35744.3062561,72785.3975261,0.697345857196
psbD,340,359,JTT-No,chloro,-2620.08181043,6210.00931408,NA
ND4L,353,99,WAG-No,mito,-15777.9559477,32951.2623128,NA
ATP8,353,80,gcpREV-No,mito,-16379.5167385,34194.6702103,NA
rps3,347,313,mtVer-G,chloro,-16689.4498404,34686.7386953,0.882421069247
psbF,341,50,WAG-No,chloro,-343.571523509,1456.14682558,NA
psaA,339,776,gcpREV-G,chloro,-10464.2315518,22151.3033074,0.269509308965
atpA,340,523,JTT-No,chloro,-16326.3118163,33911.068032,NA
rps15,401,143,WAG-No,chloro,-7625.91651547,16617.9376421,NA
psbF,341,50,LG-G,chloro,-353.827227772,1478.74970506,0.549441095507
ND3,352,132,gcpREV-No,mito,-20151.352852,41720.0277624,NA
rps8,349,199,JC69-No,chloro,-12100.9731002,25473.4989467,NA
rpl16,343,199,WAG-No,chloro,-6298.18806102,13811.1073722,NA
rps7,655,166,gcpREV-G,chloro,-4540.49905415,10830.9844797,0.866209465668
ccsA,329,484,JTT-No,chloro,-30683.1328259,62669.5857935,NA
petB,335,274,JC69-No,chloro,-4059.61773424,9193.49682403,NA
ndhC,314,142,gcpREV-No,chloro,-3749.30445563,8559.09557808,NA
ATP6,352,243,gcpREV-G,mito,-31860.1487243,65135.9322134,0.612482359949
atpE,340,154,gcpREV-G,chloro,-6467.87007551,14155.8143453,0.629653435738
ycf1,352,7031,JC69-G,chloro,-347753.349339,696911.097598,0.727632477751
ATP6,352,243,LG-G,mito,-33268.4649688,67952.5647024,0.648724192831
ND6,362,401,JC69-No,mito,-71465.7934728,144380.794949,NA
COX2,347,242,mtVer-No,mito,-20188.5064507,41754.2308627,NA
ycf3,335,197,LG-G,chloro,-3653.79734838,8374.16018977,0.665430985471
psbE,340,85,LG-G,chloro,-904.116005445,2666.82872391,0.395344249676
rps2,340,278,JC69-G,chloro,-14423.1297829,30084.3282317,0.433785032607
ycf3,335,197,mtVer-G,chloro,-3573.78661864,8214.1387303,0.474281497094
ndhJ,316,177,JTT-G,chloro,-4653.08382605,10378.3659192,0.514289215819
ndhA,315,411,JC69-G,chloro,-19126.0495508,39457.6956997,0.45382662084
petB,335,274,JTT-G,chloro,-3134.78770263,7345.86028045,0.266087753754
atpE,340,154,JTT-G,chloro,-6579.87668561,14379.8275655,0.602411001132
COX3,350,264,JC69-G,mito,-22473.7219796,46347.9935536,0.337531287424
ND3,352,132,JC69-G,mito,-20716.7601486,42852.9039175,0.431248342009
rpoC2,334,2291,JTT-No,chloro,-122581.221828,246487.591826,NA
ATP8,353,80,mtVer-G,mito,-15195.2195103,31828.1788709,1.13437444229
rpl14,346,143,JTT-No,chloro,-4682.88162822,10514.9793108,NA
rpoC1,336,898,LG-No,chloro,-38610.012638,78514.8016851,NA
ycf2,537,5835,JC69-No,chloro,-206029.341038,414121.36143,NA
rpl14,346,143,JC69-No,chloro,-5791.42968387,12732.075422,NA
ycf2,537,5835,LG-G,chloro,-185526.776616,373118.233904,1.9504429692
COX3,350,264,gcpREV-No,mito,-22335.6464372,46069.812039,NA
rps12,604,265,gcpREV-No,chloro,-4778.41450684,11304.3274746,NA
ndhG,314,219,gcpREV-No,chloro,-9682.6467817,20514.838838,NA
ND6,362,401,JTT-No,mito,-64085.5378954,129620.283794,NA
psbD,340,359,LG-G,chloro,-2616.50086608,6204.86338134,0.123362355014
CYTB,348,394,mtVer-No,mito,-46180.9116878,93754.8743805,NA
psbT,341,43,gcpREV-No,chloro,-633.94197235,2170.92022141,NA
atpA,340,523,JC69-No,chloro,-20942.6588177,43143.7620348,NA
ndhD,309,532,JTT-No,chloro,-25149.7612721,51499.8964888,NA
matK,341,773,WAG-No,chloro,-69194.9569206,139731.323433,NA
atpI,340,257,JTT-No,chloro,-7163.69581159,15511.3724507,NA
rpl16,343,199,gcpREV-G,chloro,-5754.00744901,12724.7819593,0.52253520878
psbN,339,45,WAG-No,chloro,-638.491478745,2094.36179432,NA
rps4,342,253,mtVer-G,chloro,-11160.4029636,23561.6541736,0.602912354075
ndhF,315,891,WAG-No,chloro,-65881.5478077,133011.872009,NA
ycf4,334,233,JTT-No,chloro,-10249.4801125,21720.4879592,NA
rpl20,343,193,WAG-G,chloro,-11638.8769824,24541.7255991,0.673150116908
rps7,655,166,JTT-No,chloro,-4750.49329841,11248.9406492,NA
psbL,324,68,JTT-No,chloro,-517.338464802,1760.47041489,NA
ND1,352,347,gcpREV-G,mito,-38334.1839202,78080.4953426,0.584393086945
ND4,349,475,WAG-No,mito,-82072.616709,165541.093885,NA
psbT,341,43,WAG-G,chloro,-617.715839678,2140.59331895,0.375445063617
ND2,352,356,WAG-G,mito,-79939.2797279,161290.480328,0.847934620042
petG,341,38,JTT-G,chloro,-483.19628043,1794.06984662,0.655677043324
rps7,655,166,LG-G,chloro,-4711.77147902,11173.5293294,0.892931797706
rps8,349,199,gcpREV-G,chloro,-9159.04952825,19591.6886466,1.02509024037
psbT,341,43,LG-G,chloro,-637.616623696,2180.39488699,0.342840121126
COX2,347,242,WAG-G,mito,-19251.5452085,39882.3413624,0.653661270869
rps15,401,143,mtVer-No,chloro,-8076.63224763,17519.3691064,NA
petD,341,211,gcpREV-No,chloro,-2921.69325562,6901.11909787,NA
ycf1,352,7031,JC69-No,chloro,-357774.826422,716952.050629,NA
rpl20,343,193,LG-G,chloro,-11767.9048334,24799.781301,0.624180227083
atpH,342,92,LG-No,chloro,-832.044819416,2439.5537315,NA
psaB,339,735,WAG-G,chloro,-10445.9604159,22100.8513961,0.208907466645
rpl36,343,58,mtVer-No,chloro,-1234.07318485,3355.55024452,NA
rps15,401,143,JTT-No,chloro,-7512.21466806,16390.5339473,NA
rpl16,343,199,mtVer-G,chloro,-6184.18412834,13585.135318,0.431875319757
ndhJ,316,177,gcpREV-G,chloro,-4591.53111305,10255.2604932,0.485326116362
ndhH,328,578,WAG-G,chloro,-12923.1207869,27056.096077,0.319956459405
petN,332,37,gcpREV-G,chloro,-388.670139452,1572.32094792,2.19284015373
atpA,340,523,WAG-No,chloro,-16558.5988567,34375.6421127,NA
psbT,341,43,mtVer-G,chloro,-643.910382128,2192.98240385,0.218193109167
ND5,350,662,JTT-G,mito,-116068.073611,233536.371463,0.631604417441
ycf4,334,233,LG-G,chloro,-10171.1186577,21565.7966182,0.938359037033
ndhG,314,219,LG-No,chloro,-10344.9679444,21839.4811634,NA
psbF,341,50,JTT-No,chloro,-336.053056206,1441.10989098,NA
psbB,327,518,LG-G,chloro,-8281.17948345,17728.3652938,0.278643152371
ND5,350,662,JC69-No,mito,-150743.192551,302884.59724,NA
ND4L,353,99,JTT-No,mito,-15513.9486178,32423.2476529,NA
psbK,341,82,gcpREV-G,chloro,-3326.30527918,7845.56873492,0.572957898422
psbD,340,359,WAG-No,chloro,-2638.16495094,6246.1755951,NA
rps14,338,121,LG-No,chloro,-5247.80123847,11674.3770577,NA
psbJ,342,41,WAG-G,chloro,-764.629135029,2474.12025767,0.486360019301
petG,341,38,WAG-No,chloro,-515.426670354,1856.40084409,NA
petA,340,351,JC69-No,chloro,-15935.6474088,33135.9710874,NA
psbE,340,85,LG-No,chloro,-940.426786112,2737.39042653,NA
ND4,349,475,mtVer-G,mito,-69246.3752773,139890.627922,0.575928108344
atpB,336,547,WAG-G,chloro,-12928.8896304,27114.0650359,0.314461337382
matK,341,773,WAG-G,chloro,-67459.8581025,136263.136003,1.37228866497
rpl22,316,352,gcpREV-No,chloro,-17055.4264701,35285.0282545,NA
ndhB,604,807,LG-No,chloro,-13406.0433981,28743.911383,NA
psbC,337,489,LG-G,chloro,-5577.69741253,12315.4707504,0.178721067897
psaJ,339,68,gcpREV-G,chloro,-1293.23197535,3594.05646776,0.504903302899
ccsA,329,484,LG-G,chloro,-30075.323632,61455.9838343,0.838262824382
atpI,340,257,mtVer-G,chloro,-6654.15667182,14494.3214091,0.404967160105
psbB,327,518,mtVer-No,chloro,-8872.11060518,18908.2137461,NA
rps3,347,313,LG-No,chloro,-17435.1043189,36176.0234969,NA
psbD,340,359,gcpREV-G,chloro,-2536.1806483,6044.22294578,0.130421787723
atpH,342,92,JC69-No,chloro,-897.681361158,2570.82681498,NA
ndhK,301,390,JC69-G,chloro,-12373.941903,25861.1471261,0.260366996971
atpF,338,257,JC69-G,chloro,-14139.9807824,29553.2400545,0.475521948222
ycf2,537,5835,JTT-G,chloro,-180512.028967,363088.738606,2.02174566031
ccsA,329,484,WAG-G,chloro,-29548.83139,60402.9993503,0.835275446837
rpl22,316,352,JTT-G,chloro,-16216.5189637,33609.2344461,0.822072175893
matK,341,773,gcpREV-No,chloro,-66745.6138714,134832.637334,NA
ycf1,352,7031,gcpREV-No,chloro,-314354.103338,630110.604461,NA
rpoC1,336,898,gcpREV-G,chloro,-34580.4445857,70457.6741853,0.700512165546
atpB,336,547,JC69-No,chloro,-18049.5365849,37353.3452508,NA
rpoB,334,1239,JTT-G,chloro,-48948.1108952,99190.2449427,0.689077535804
rps8,349,199,JC69-G,chloro,-10839.5204919,22952.6305739,0.556100831025
rps7,655,166,mtVer-G,chloro,-4865.65106812,11481.2885076,0.687705667937
rps11,351,181,LG-No,chloro,-7672.33527755,16541.8640343,NA
psbC,337,489,JC69-G,chloro,-5995.30898501,13150.6938953,0.203105271005
petA,340,351,gcpREV-G,chloro,-11533.4085484,24333.5146513,0.533172742155
ndhE,322,107,gcpREV-G,chloro,-3132.67155184,7325.43493711,0.98347698812
ATP8,353,80,LG-No,mito,-16827.151986,35089.9407053,NA
petG,341,38,mtVer-No,chloro,-512.066468836,1849.68044106,NA
ndhC,314,142,mtVer-No,chloro,-3859.42742743,8779.34152168,NA
ATP6,352,243,WAG-No,mito,-35963.0049443,73339.6114163,NA
rpoB,334,1239,mtVer-No,chloro,-53982.5939122,109257.204718,NA
psbL,324,68,gcpREV-No,chloro,-511.196416791,1748.18631886,NA
rps11,351,181,WAG-G,chloro,-7140.83331307,15480.8980358,0.925532032027
CYTB,348,394,LG-G,mito,-44444.0308594,90283.1331249,0.549206499574
ND4,349,475,JTT-No,mito,-80991.754063,163379.368593,NA
CYTB,348,394,JC69-No,mito,-58636.73492,118666.520845,NA
petN,332,37,LG-G,chloro,-417.297722705,1629.57611443,1.7590396937
rps7,655,166,WAG-No,chloro,-4822.43049402,11392.8150404,NA
psaA,339,776,JC69-G,chloro,-12047.8004887,25318.4411812,0.273668749557
rps3,347,313,LG-G,chloro,-16695.2395496,34698.3181137,0.977310864466
psbL,324,68,WAG-No,chloro,-527.690357464,1781.17420021,NA
ndhF,315,891,JTT-No,chloro,-64903.3674172,131055.511228,NA
rpl14,346,143,mtVer-No,chloro,-4850.77487807,10850.7658104,NA
ycf4,334,233,WAG-No,chloro,-10429.9371023,22081.4019388,NA
ATP8,353,80,WAG-G,mito,-15939.0330892,33315.8060287,1.05572200125
ND4L,353,99,mtVer-No,mito,-14694.2018558,30783.7541289,NA
ND2,352,356,JC69-No,mito,-97865.0742722,197140.046819,NA
psbN,339,45,JTT-No,chloro,-623.23806094,2063.85495871,NA
rps11,351,181,mtVer-No,chloro,-7931.40039789,17059.994275,NA
rps3,347,313,WAG-G,chloro,-16459.8769841,34227.5929827,0.786109087187
rbcL,337,509,gcpREV-No,chloro,-13814.8932254,28960.9393105,NA
ndhB,604,807,WAG-G,chloro,-12867.7770108,27669.3865513,1.04353263164
petG,341,38,mtVer-G,chloro,-492.025425582,1811.72813692,0.566720263296
atpI,340,257,WAG-No,chloro,-7318.92837207,15821.8375717,NA
atpB,336,547,LG-No,chloro,-14659.6061262,30573.4843334,NA
matK,341,773,JTT-No,chloro,-67676.0810213,136693.571634,NA
matK,341,773,LG-No,chloro,-70337.2523462,142015.914284,NA
ndhD,309,532,WAG-No,chloro,-25648.9440868,52498.2621181,NA
ND3,352,132,mtVer-No,mito,-19092.1356303,39601.593319,NA
ND5,350,662,gcpREV-G,mito,-114838.922834,231078.06991,0.621364941461
atpH,342,92,mtVer-No,chloro,-768.528416428,2312.52092552,NA
ATP6,352,243,mtVer-G,mito,-30789.3316137,62994.2979921,0.55875640948
ccsA,329,484,LG-No,chloro,-31892.2367953,65087.7937323,NA
ND3,352,132,mtVer-G,mito,-16886.9291979,35193.2420161,0.55355739703
rpl22,316,352,LG-G,chloro,-16595.383886,34366.9642907,0.758026029333
ND6,362,401,WAG-No,mito,-64257.117288,129963.442579,NA
CYTB,348,394,JTT-G,mito,-42741.6583351,86878.3880762,0.552940134898
rpl14,346,143,WAG-No,chloro,-4753.84760708,10656.9112685,NA
rpoC2,334,2291,WAG-No,chloro,-125117.745377,251560.638924,NA
rps2,340,278,LG-G,chloro,-12896.0700562,27030.2087783,0.747792684657
atpA,340,523,gcpREV-G,chloro,-14863.7733219,30988.0052449,0.353466888473
psbE,340,85,WAG-G,chloro,-876.762309975,2612.12133297,0.392181280539
psbK,341,82,JC69-G,chloro,-3976.96254724,9146.88327105,0.441904758577
psbJ,342,41,LG-No,chloro,-878.124146468,2698.97324686,NA
ycf3,335,197,JC69-G,chloro,-3975.9528028,9018.47109861,0.501661828794
rps3,347,313,gcpREV-G,chloro,-15898.0158793,33103.8707731,0.988197721592
rps14,338,121,WAG-G,chloro,-5006.40652225,11193.6457867,0.94959423953
COX1,344,537,JC69-G,mito,-25402.6322561,52176.3412547,0.224187446006
ccsA,329,484,mtVer-No,chloro,-31655.5200637,64614.3602692,NA
rpl20,343,193,mtVer-G,chloro,-11952.0137281,25167.9990905,0.755166291528
atpE,340,154,JC69-No,chloro,-8608.9594209,18435.9461618,NA
psbD,340,359,gcpREV-No,chloro,-2607.94578068,6185.73725459,NA
ndhC,314,142,JC69-G,chloro,-4292.58625325,9647.70711682,0.26681696913
rbcL,337,509,JC69-No,chloro,-17107.6152073,35546.3832744,NA
psbA,344,362,LG-G,chloro,-2650.48761079,6307.03085509,0.160200822446
rpoC1,336,898,mtVer-G,chloro,-35936.984802,73170.7546179,0.596334346969
ndhG,314,219,WAG-G,chloro,-9635.24282413,20422.0645555,0.789243322266
ccsA,329,484,WAG-No,chloro,-31260.0180296,63823.356201,NA
ndhH,328,578,LG-No,chloro,-14271.0734584,29749.9886364,NA
rpl16,343,199,JTT-No,chloro,-6221.08199929,13656.8952488,NA
atpH,342,92,WAG-G,chloro,-777.566720789,2332.6472612,0.856335785335
psaB,339,735,LG-No,chloro,-11393.5285454,23993.9779396,NA
ND1,352,347,JC69-G,mito,-46011.5315234,93435.190549,0.33986971463
ND4L,353,99,JTT-G,mito,-14546.9133456,30491.2578812,0.671765458678
rpoC1,336,898,JC69-No,chloro,-44641.4280442,90577.6324975,NA
rbcL,337,509,mtVer-G,chloro,-12363.4643355,26060.0971052,0.264056641729
psaJ,339,68,gcpREV-No,chloro,-1352.26301337,3710.03017143,NA
CYTB,348,394,JC69-G,mito,-50258.6245248,101912.320456,0.386159705947
ycf4,334,233,WAG-G,chloro,-10001.5759576,21226.711218,0.904285461088
atpE,340,154,mtVer-G,chloro,-6779.56733724,14779.2088688,0.694419779583
rpl20,343,193,JC69-No,chloro,-14224.9541224,29711.84151,NA
ND6,362,401,WAG-G,mito,-61528.5818461,124508.39174,1.39407550104
petN,332,37,JC69-G,chloro,-469.857011696,1734.69469241,0.496597540744
ndhK,301,390,JTT-G,chloro,-11167.5412094,23448.3457389,0.41941770361
psbL,324,68,LG-G,chloro,-525.698348872,1779.25680018,1.08371685918
psaA,339,776,JTT-G,chloro,-10559.718727,22342.2776577,0.273204156808
ATP8,353,80,WAG-No,mito,-16463.1777717,34361.9922767,NA
rps14,338,121,gcpREV-G,chloro,-4836.80512724,10854.4429966,0.867255561722
rpoC1,336,898,gcpREV-No,chloro,-36510.2605184,74315.2974459,NA
ND6,362,401,gcpREV-G,mito,-60731.7612523,122914.750552,1.29325780918
ATP8,353,80,mtVer-No,mito,-15927.6145347,33290.8658028,NA
rpl14,346,143,gcpREV-No,chloro,-4542.13551718,10233.4870887,NA
psaB,339,735,JTT-No,chloro,-11008.8274436,23224.575736,NA
ndhE,322,107,JC69-G,chloro,-3913.79831796,8887.68846935,0.618824949252
petB,335,274,LG-G,chloro,-3327.33294226,7730.9507597,0.252604774831
rps12,604,265,mtVer-No,chloro,-5146.12366607,12039.7457931,NA
atpH,342,92,JC69-G,chloro,-843.181990603,2463.87780083,0.341653621402
petA,340,351,gcpREV-No,chloro,-12356.4735885,25977.6234469,NA
COX2,347,242,JTT-No,mito,-20793.561115,42964.3401912,NA
psbJ,342,41,WAG-No,chloro,-822.007565042,2586.74008401,NA
ATP6,352,243,JC69-No,mito,-42800.2718499,87014.1452274,NA
COX3,350,264,gcpREV-G,mito,-19456.8924754,40314.3345452,0.450139633855
COX3,350,264,WAG-G,mito,-19997.347481,41395.2445564,0.463454583782
ND3,352,132,JC69-No,mito,-23621.017902,48659.3578623,NA
ND3,352,132,WAG-G,mito,-18275.1786907,37969.7410017,0.591518899908
atpB,336,547,gcpREV-G,chloro,-12614.7186599,26485.7230949,0.320307868944
ycf2,537,5835,WAG-No,chloro,-185908.638913,373879.95718,NA
atpA,340,523,JTT-G,chloro,-14913.8804462,31088.2194935,0.398757365007
ycf1,352,7031,WAG-G,chloro,-312221.892949,625848.184817,1.55662855461
ND2,352,356,mtVer-G,mito,-73242.7648653,147897.450603,0.784593143198
ND1,352,347,LG-G,mito,-40547.6036073,82507.3347168,0.546294360906
petG,341,38,JC69-No,chloro,-637.072121191,2099.69174577,NA
ND2,352,356,JTT-No,mito,-83840.5042625,169090.9068,NA
ycf4,334,233,gcpREV-No,chloro,-10023.9131646,21269.3540634,NA
psbL,324,68,JTT-G,chloro,-510.940544249,1749.74119093,0.76116943742
rpl36,343,58,LG-G,chloro,-1191.72521392,3272.94472324,0.499256615462
rps3,347,313,JTT-No,chloro,-16926.885603,35159.5860651,NA
ndhB,604,807,WAG-No,chloro,-13155.5977573,28243.0201015,NA
rpl16,343,199,LG-No,chloro,-6411.88019571,14038.4916416,NA
CYTB,348,394,mtVer-G,mito,-40858.8893747,83112.8501554,0.51791248031
rpl20,343,193,gcpREV-G,chloro,-11263.5625356,23791.0967055,0.65455313237
psbC,337,489,JTT-G,chloro,-5348.28853261,11856.6529905,0.183198917161
rps12,604,265,JTT-G,chloro,-4585.54414151,10920.6086644,0.503753179812
ndhI,316,213,gcpREV-G,chloro,-6644.15288517,14427.8886417,0.474269163417
psaJ,339,68,JTT-No,chloro,-1367.66125521,3740.82665511,NA
atpB,336,547,mtVer-G,chloro,-13000.1037943,27256.4933638,0.305124961861
rpl16,343,199,WAG-G,chloro,-5941.01137797,13098.7898173,0.605663599634
psaB,339,735,gcpREV-No,chloro,-10875.2238746,22957.3685979,NA
psbE,340,85,gcpREV-No,chloro,-881.018179926,2618.57321416,NA
rps7,655,166,JC69-No,chloro,-5765.66370523,13279.2814629,NA
rbcL,337,509,LG-G,chloro,-12118.9329608,25571.0343558,0.274998523345
ndhA,315,411,JTT-G,chloro,-16284.5560133,33774.7086246,0.584558663505
ND3,352,132,LG-No,mito,-21271.1062896,43959.5346376,NA
atpH,342,92,mtVer-G,chloro,-758.925222234,2295.36426409,0.754718581346
COX3,350,264,LG-No,mito,-23602.1302006,48602.779566,NA
psbN,339,45,LG-G,chloro,-660.648182707,2140.78407999,1.31732052101
psbN,339,45,mtVer-No,chloro,-630.759508814,2078.89785446,NA
ND2,352,356,LG-G,mito,-80610.3241858,162632.569244,0.800801774911
ycf1,352,7031,LG-No,chloro,-323267.661282,647937.72035,NA
psbE,340,85,JC69-G,chloro,-980.373092724,2819.34289847,0.271937619937
atpI,340,257,JC69-No,chloro,-9043.09324075,19270.167309,NA
ndhJ,316,177,WAG-No,chloro,-5026.17257352,11122.5048914,NA
petA,340,351,mtVer-G,chloro,-11987.370239,25241.4380325,0.581933546905
ycf3,335,197,gcpREV-G,chloro,-3442.4712357,7951.5079644,0.645632217729
ND4,349,475,JC69-No,mito,-95734.0837068,192864.02788,NA
psbA,344,362,gcpREV-No,chloro,-2739.25945994,6482.55836291,NA
petA,340,351,LG-G,chloro,-12360.585784,25987.8691225,0.521734696472
rpl22,316,352,JTT-No,chloro,-17199.149684,35572.4746824,NA
psbA,344,362,mtVer-No,chloro,-2839.49727377,6683.03399057,NA
ND5,350,662,mtVer-G,mito,-109776.483466,220953.191173,0.555176977249
psbF,341,50,JTT-G,chloro,-332.044906606,1435.18506273,0.623641246413
rpl36,343,58,WAG-No,chloro,-1180.87417367,3249.15222214,NA
rpl16,343,199,JC69-No,chloro,-7546.21416935,16307.1595889,NA
rpl20,343,193,WAG-No,chloro,-12215.5813893,25693.0960437,NA
psbT,341,43,JC69-No,chloro,-817.358872197,2537.75402111,NA
